AX: 0.86, AY: -0.51, AZ: -0.01, GX: -295.00, GY: -21.00, GZ: 2951.00

AX: 0.86, AY: -0.52, AZ: -0.01, GX: -293.00, GY: -19.00, GZ: 2947.00

AX: 0.84, AY: -0.52, AZ: -0.01, GX: -291.00, GY: -16.00, GZ: 2952.00

AX: 0.85, AY: -0.53, AZ: -0.01, GX: -290.00, GY: -17.00, GZ: 2948.00

AX: 0.83, AY: -0.56, AZ: -0.01, GX: -295.00, GY: -18.00, GZ: 2950.00

AX: 0.82, AY: -0.57, AZ: -0.02, GX: -290.00, GY: -21.00, GZ: 2950.00

AX: 0.80, AY: -0.57, AZ: -0.01, GX: -291.00, GY: -15.00, GZ: 2949.00

AX: 0.81, AY: -0.59, AZ: -0.01, GX: -292.00, GY: -16.00, GZ: 2948.00

AX: 0.80, AY: -0.61, AZ: -0.01, GX: -296.00, GY: -17.00, GZ: 2952.00

AX: 0.79, AY: -0.62, AZ: -0.01, GX: -289.00, GY: -21.00, GZ: 2950.00

AX: 0.77, AY: -0.62, AZ: -0.01, GX: -287.00, GY: -12.00, GZ: 2948.00

AX: 0.78, AY: -0.64, AZ: -0.01, GX: -295.00, GY: -19.00, GZ: 2950.00

AX: 0.76, AY: -0.66, AZ: -0.01, GX: -299.00, GY: -19.00, GZ: 2944.00

AX: 0.75, AY: -0.66, AZ: -0.01, GX: -291.00, GY: -19.00, GZ: 2941.00

AX: 0.72, AY: -0.67, AZ: -0.01, GX: -291.00, GY: -16.00, GZ: 2937.00

AX: 0.73, AY: -0.69, AZ: -0.01, GX: -290.00, GY: -17.00, GZ: 2931.00

AX: 0.71, AY: -0.71, AZ: -0.02, GX: -292.00, GY: -20.00, GZ: 2928.00

AX: 0.70, AY: -0.71, AZ: -0.02, GX: -292.00, GY: -18.00, GZ: 2932.00

AX: 0.68, AY: -0.71, AZ: -0.00, GX: -287.00, GY: -17.00, GZ: 2935.00

AX: 0.68, AY: -0.74, AZ: -0.01, GX: -294.00, GY: -19.00, GZ: 2942.00

AX: 0.67, AY: -0.76, AZ: -0.02, GX: -296.00, GY: -20.00, GZ: 2949.00

AX: 0.66, AY: -0.75, AZ: -0.01, GX: -292.00, GY: -23.00, GZ: 2955.00

AX: 0.64, AY: -0.76, AZ: -0.01, GX: -288.00, GY: -18.00, GZ: 2961.00

AX: 0.64, AY: -0.78, AZ: -0.02, GX: -290.00, GY: -16.00, GZ: 2960.00

AX: 0.63, AY: -0.80, AZ: -0.02, GX: -292.00, GY: -15.00, GZ: 2956.00

