AX: 0.18, AY: -1.05, AZ: -0.02, GX: -569.00, GY: 41.00, GZ: 11784.00

AX: 0.14, AY: -1.06, AZ: -0.03, GX: -564.00, GY: 34.00, GZ: 11783.00

AX: 0.06, AY: -1.05, AZ: -0.03, GX: -563.00, GY: 42.00, GZ: 11786.00

AX: -0.00, AY: -1.07, AZ: -0.04, GX: -571.00, GY: 39.00, GZ: 11786.00

AX: -0.04, AY: -1.05, AZ: -0.03, GX: -559.00, GY: 33.00, GZ: 11782.00

AX: -0.12, AY: -1.07, AZ: -0.03, GX: -569.00, GY: 37.00, GZ: 11775.00

AX: -0.20, AY: -1.04, AZ: -0.03, GX: -569.00, GY: 44.00, GZ: 11775.00

AX: -0.24, AY: -1.03, AZ: -0.04, GX: -569.00, GY: 34.00, GZ: 11774.00

AX: -0.32, AY: -1.01, AZ: -0.05, GX: -565.00, GY: 41.00, GZ: 11779.00

AX: -0.37, AY: -1.00, AZ: -0.05, GX: -567.00, GY: 34.00, GZ: 11776.00

AX: -0.43, AY: -0.98, AZ: -0.04, GX: -566.00, GY: 35.00, GZ: 11773.00

AX: -0.50, AY: -0.93, AZ: -0.04, GX: -562.00, GY: 42.00, GZ: 11774.00

AX: -0.52, AY: -0.92, AZ: -0.05, GX: -570.00, GY: 32.00, GZ: 11769.00

AX: -0.60, AY: -0.86, AZ: -0.05, GX: -561.00, GY: 39.00, GZ: 11772.00

AX: -0.65, AY: -0.85, AZ: -0.06, GX: -566.00, GY: 39.00, GZ: 11775.00

AX: -0.68, AY: -0.79, AZ: -0.05, GX: -564.00, GY: 31.00, GZ: 11771.00

AX: -0.74, AY: -0.77, AZ: -0.06, GX: -573.00, GY: 42.00, GZ: 11768.00

AX: -0.78, AY: -0.70, AZ: -0.06, GX: -562.00, GY: 44.00, GZ: 11765.00

AX: -0.81, AY: -0.68, AZ: -0.06, GX: -575.00, GY: 35.00, GZ: 11761.00

AX: -0.85, AY: -0.58, AZ: -0.05, GX: -562.00, GY: 38.00, GZ: 11771.00

AX: -0.88, AY: -0.57, AZ: -0.07, GX: -571.00, GY: 40.00, GZ: 11763.00

AX: -0.90, AY: -0.49, AZ: -0.06, GX: -567.00, GY: 40.00, GZ: 11762.00

AX: -0.95, AY: -0.44, AZ: -0.07, GX: -571.00, GY: 43.00, GZ: 11757.00

AX: -0.94, AY: -0.39, AZ: -0.07, GX: -569.00, GY: 35.00, GZ: 11756.00

AX: -0.99, AY: -0.32, AZ: -0.07, GX: -574.00, GY: 41.00, GZ: 11756.00

AX: -0.98, AY: -0.25, AZ: -0.07, GX: -559.00, GY: 38.00, GZ: 11762.00

AX: -1.00, AY: -0.21, AZ: -0.06, GX: -573.00, GY: 40.00, GZ: 11756.00

AX: -1.00, AY: -0.13, AZ: -0.07, GX: -564.00, GY: 35.00, GZ: 11764.00

AX: -1.02, AY: -0.06, AZ: -0.07, GX: -567.00, GY: 39.00, GZ: 11758.00

AX: -1.00, AY: -0.02, AZ: -0.07, GX: -574.00, GY: 38.00, GZ: 11759.00

AX: -1.00, AY: 0.09, AZ: -0.07, GX: -567.00, GY: 38.00, GZ: 11762.00

AX: -1.00, AY: 0.10, AZ: -0.08, GX: -571.00, GY: 37.00, GZ: 11768.00

