AX: -0.93, AY: -2.63, AZ: -0.05, GX: -2315.00, GY: 476.00, GZ: 32767.00

AX: -1.03, AY: -2.26, AZ: -0.05, GX: -2324.00, GY: 478.00, GZ: 32767.00

AX: -0.98, AY: -1.89, AZ: -0.05, GX: -2327.00, GY: 473.00, GZ: 32767.00

AX: -0.79, AY: -1.56, AZ: -0.05, GX: -2324.00, GY: 470.00, GZ: 32767.00

AX: -0.49, AY: -1.34, AZ: -0.05, GX: -2320.00, GY: 459.00, GZ: 32767.00

AX: -0.14, AY: -1.21, AZ: -0.04, GX: -2313.00, GY: 458.00, GZ: 32767.00

AX: 0.22, AY: -1.25, AZ: -0.02, GX: -2318.00, GY: 461.00, GZ: 32767.00

AX: 0.57, AY: -1.40, AZ: -0.02, GX: -2306.00, GY: 459.00, GZ: 32767.00

AX: 0.82, AY: -1.68, AZ: -0.02, GX: -2308.00, GY: 461.00, GZ: 32767.00

AX: 0.97, AY: -2.10, AZ: -0.01, GX: -2308.00, GY: 463.00, GZ: 32767.00

AX: 0.96, AY: -2.47, AZ: -0.00, GX: -2305.00, GY: 474.00, GZ: 32767.00

AX: 0.83, AY: -2.79, AZ: 0.00, GX: -2301.00, GY: 476.00, GZ: 32767.00

AX: 0.56, AY: -3.04, AZ: -0.00, GX: -2298.00, GY: 477.00, GZ: 32767.00

AX: 0.22, AY: -3.19, AZ: -0.02, GX: -2305.00, GY: 480.00, GZ: 32767.00

AX: -0.15, AY: -3.19, AZ: -0.04, GX: -2311.00, GY: 482.00, GZ: 32767.00

AX: -0.51, AY: -3.05, AZ: -0.04, GX: -2318.00, GY: 477.00, GZ: 32767.00

AX: -0.81, AY: -2.80, AZ: -0.04, GX: -2319.00, GY: 476.00, GZ: 32767.00

AX: -0.99, AY: -2.44, AZ: -0.06, GX: -2324.00, GY: 471.00, GZ: 32767.00

AX: -1.02, AY: -2.07, AZ: -0.05, GX: -2322.00, GY: 471.00, GZ: 32767.00

AX: -0.93, AY: -1.71, AZ: -0.05, GX: -2324.00, GY: 472.00, GZ: 32767.00

AX: -0.71, AY: -1.43, AZ: -0.06, GX: -2326.00, GY: 467.00, GZ: 32767.00

AX: -0.39, AY: -1.24, AZ: -0.05, GX: -2319.00, GY: 461.00, GZ: 32767.00

AX: -0.03, AY: -1.21, AZ: -0.03, GX: -2314.00, GY: 464.00, GZ: 32767.00

AX: 0.35, AY: -1.30, AZ: -0.02, GX: -2310.00, GY: 459.00, GZ: 32767.00

AX: 0.67, AY: -1.53, AZ: -0.01, GX: -2305.00, GY: 464.00, GZ: 32767.00

AX: 0.90, AY: -1.85, AZ: -0.00, GX: -2310.00, GY: 461.00, GZ: 32767.00

