AX: 0.92, AY: 0.36, AZ: -0.01, GX: -376.00, GY: -4.00, GZ: 5651.00

AX: 0.92, AY: 0.33, AZ: -0.01, GX: -381.00, GY: -3.00, GZ: 5648.00

AX: 0.94, AY: 0.31, AZ: -0.01, GX: -372.00, GY: -3.00, GZ: 5640.00

AX: 0.94, AY: 0.28, AZ: -0.01, GX: -374.00, GY: -3.00, GZ: 5636.00

AX: 0.97, AY: 0.24, AZ: -0.01, GX: -374.00, GY: -4.00, GZ: 5634.00

AX: 0.95, AY: 0.22, AZ: -0.00, GX: -378.00, GY: 0.00, GZ: 5639.00

AX: 0.98, AY: 0.19, AZ: -0.01, GX: -375.00, GY: -8.00, GZ: 5641.00

AX: 0.97, AY: 0.16, AZ: -0.01, GX: -375.00, GY: -2.00, GZ: 5640.00

AX: 0.99, AY: 0.12, AZ: -0.01, GX: -375.00, GY: -10.00, GZ: 5629.00

AX: 0.98, AY: 0.09, AZ: -0.01, GX: -375.00, GY: 4.00, GZ: 5624.00

AX: 1.00, AY: 0.06, AZ: -0.01, GX: -373.00, GY: -3.00, GZ: 5620.00

AX: 0.98, AY: 0.04, AZ: -0.01, GX: -375.00, GY: 3.00, GZ: 5620.00

AX: 1.00, AY: -0.00, AZ: -0.01, GX: -375.00, GY: -1.00, GZ: 5613.00

AX: 0.98, AY: -0.02, AZ: -0.01, GX: -376.00, GY: -2.00, GZ: 5612.00

AX: 1.00, AY: -0.06, AZ: -0.01, GX: -371.00, GY: -3.00, GZ: 5609.00

AX: 0.98, AY: -0.08, AZ: -0.01, GX: -376.00, GY: -1.00, GZ: 5606.00

AX: 0.99, AY: -0.13, AZ: -0.01, GX: -376.00, GY: -4.00, GZ: 5609.00

AX: 0.97, AY: -0.14, AZ: -0.01, GX: -374.00, GY: -3.00, GZ: 5616.00

AX: 0.99, AY: -0.17, AZ: -0.01, GX: -372.00, GY: 0.00, GZ: 5624.00

AX: 0.98, AY: -0.19, AZ: -0.01, GX: -372.00, GY: -2.00, GZ: 5623.00

AX: 0.98, AY: -0.24, AZ: -0.01, GX: -375.00, GY: -3.00, GZ: 5616.00

AX: 0.96, AY: -0.26, AZ: -0.01, GX: -377.00, GY: -6.00, GZ: 5619.00

AX: 0.95, AY: -0.29, AZ: -0.01, GX: -372.00, GY: 1.00, GZ: 5621.00

AX: 0.95, AY: -0.31, AZ: -0.01, GX: -374.00, GY: 0.00, GZ: 5622.00

AX: 0.94, AY: -0.35, AZ: -0.01, GX: -380.00, GY: -3.00, GZ: 5625.00

AX: 0.93, AY: -0.37, AZ: -0.01, GX: -375.00, GY: -3.00, GZ: 5624.00

AX: 0.92, AY: -0.40, AZ: -0.00, GX: -373.00, GY: 0.00, GZ: 5617.00

AX: 0.91, AY: -0.43, AZ: -0.02, GX: -375.00, GY: -3.00, GZ: 5622.00

AX: 0.89, AY: -0.46, AZ: -0.00, GX: -376.00, GY: -1.00, GZ: 5634.00

AX: 0.88, AY: -0.48, AZ: -0.01, GX: -373.00, GY: -2.00, GZ: 5646.00

AX: 0.86, AY: -0.51, AZ: -0.00, GX: -374.00, GY: -2.00, GZ: 5645.00

AX: 0.86, AY: -0.52, AZ: -0.01, GX: -370.00, GY: -6.00, GZ: 5650.00

AX: 0.84, AY: -0.57, AZ: -0.01, GX: -377.00, GY: 0.00, GZ: 5649.00

AX: 0.81, AY: -0.58, AZ: -0.01, GX: -374.00, GY: -2.00, GZ: 5654.00

AX: 0.80, AY: -0.60, AZ: -0.02, GX: -369.00, GY: -5.00, GZ: 5659.00

AX: 0.78, AY: -0.63, AZ: -0.01, GX: -374.00, GY: 1.00, GZ: 5658.00

AX: 0.77, AY: -0.67, AZ: -0.01, GX: -380.00, GY: -4.00, GZ: 5657.00

AX: 0.74, AY: -0.68, AZ: -0.02, GX: -374.00, GY: -2.00, GZ: 5651.00

AX: 0.73, AY: -0.70, AZ: -0.01, GX: -369.00, GY: 0.00, GZ: 5655.00

AX: 0.70, AY: -0.73, AZ: -0.01, GX: -377.00, GY: -5.00, GZ: 5660.00

AX: 0.68, AY: -0.75, AZ: -0.01, GX: -376.00, GY: -2.00, GZ: 5664.00

AX: 0.65, AY: -0.76, AZ: -0.01, GX: -377.00, GY: -5.00, GZ: 5673.00

AX: 0.63, AY: -0.78, AZ: -0.01, GX: -374.00, GY: 1.00, GZ: 5673.00

AX: 0.61, AY: -0.80, AZ: -0.02, GX: -379.00, GY: -1.00, GZ: 5670.00

AX: 0.58, AY: -0.83, AZ: -0.02, GX: -380.00, GY: -2.00, GZ: 5670.00

AX: 0.56, AY: -0.83, AZ: -0.01, GX: -375.00, GY: 0.00, GZ: 5665.00

AX: 0.54, AY: -0.85, AZ: -0.02, GX: -373.00, GY: 2.00, GZ: 5670.00

AX: 0.51, AY: -0.88, AZ: -0.01, GX: -378.00, GY: -5.00, GZ: 5667.00

AX: 0.48, AY: -0.90, AZ: -0.02, GX: -383.00, GY: 1.00, GZ: 5664.00

AX: 0.46, AY: -0.90, AZ: -0.01, GX: -378.00, GY: -3.00, GZ: 5656.00

AX: 0.43, AY: -0.91, AZ: -0.02, GX: -375.00, GY: -1.00, GZ: 5660.00

AX: 0.40, AY: -0.93, AZ: -0.02, GX: -379.00, GY: 1.00, GZ: 5667.00

AX: 0.37, AY: -0.95, AZ: -0.02, GX: -377.00, GY: 1.00, GZ: 5679.00

AX: 0.35, AY: -0.95, AZ: -0.02, GX: -377.00, GY: -2.00, GZ: 5680.00

AX: 0.32, AY: -0.96, AZ: -0.02, GX: -378.00, GY: -4.00, GZ: 5681.00

AX: 0.29, AY: -0.97, AZ: -0.03, GX: -373.00, GY: -3.00, GZ: 5685.00

AX: 0.25, AY: -0.99, AZ: -0.02, GX: -378.00, GY: 2.00, GZ: 5685.00

AX: 0.23, AY: -0.98, AZ: -0.02, GX: -375.00, GY: 0.00, GZ: 5689.00

